time,frame,track_id,class,x1,y1,x2,y2
1776295946.5729473,10,1,2,425,232,529,355
1776295946.5729473,10,2,2,431,154,509,237
1776295946.5729473,10,3,2,869,51,930,95
1776295946.5729473,10,4,2,416,55,474,96
1776295946.5729473,10,5,2,912,5,960,34
1776295946.5729473,10,7,2,414,19,470,58
1776295946.5729473,10,8,3,896,105,926,141
1776295946.5739229,10,9,3,303,103,344,129
1776295946.6598706,11,1,2,425,232,528,355
1776295946.6598706,11,2,2,431,154,509,237
1776295946.6598706,11,3,2,869,51,930,94
1776295946.6598706,11,4,2,416,55,474,96
1776295946.6598706,11,5,2,912,5,960,34
1776295946.6598706,11,7,2,414,19,470,58
1776295946.6598706,11,8,3,895,106,924,141
1776295946.9068277,12,1,2,425,232,529,355
1776295946.9068277,12,2,2,431,154,509,237
1776295946.9068277,12,3,2,871,51,931,94
1776295946.9068277,12,4,2,415,54,474,96
1776295946.9068277,12,5,2,912,4,960,34
1776295946.9068277,12,7,2,413,18,471,59
1776295946.9068277,12,8,3,892,105,921,140
1776295946.9068277,12,11,2,471,0,536,14
1776295946.992421,13,1,2,425,232,529,355
1776295946.992421,13,2,2,431,154,509,237
1776295946.9933574,13,3,2,871,50,932,93
1776295946.9933574,13,4,2,415,54,474,96
1776295946.9933574,13,5,2,912,4,960,34
1776295946.9933574,13,7,2,413,19,471,59
1776295946.9933574,13,8,3,890,104,921,140
1776295946.9933574,13,11,2,472,0,537,14
1776295947.240675,14,1,2,425,232,528,355
1776295947.240675,14,2,2,431,154,509,237
1776295947.240675,14,3,2,872,50,934,94
1776295947.240675,14,4,2,415,55,473,96
1776295947.240675,14,5,2,913,4,960,34
1776295947.240675,14,7,2,414,19,471,59
1776295947.240675,14,8,3,888,104,917,139
1776295947.240675,14,11,2,474,0,539,14
1776295947.327407,15,1,2,425,232,528,355
1776295947.327407,15,2,2,432,154,509,237
1776295947.3283834,15,3,2,872,49,935,94
1776295947.3283834,15,4,2,416,55,472,96
1776295947.3283834,15,5,2,913,4,960,34
1776295947.3283834,15,7,2,414,19,472,59
1776295947.3283834,15,8,3,887,104,916,139
1776295947.3283834,15,11,2,475,0,540,14
1776295947.5702772,16,1,2,425,233,528,355
1776295947.5702772,16,2,2,431,154,509,237
1776295947.5702772,16,3,2,873,49,935,93
1776295947.5702772,16,4,2,416,56,473,96
1776295947.5702772,16,5,2,913,5,960,34
1776295947.5702772,16,7,2,415,19,471,58
1776295947.5702772,16,8,3,880,99,913,139
1776295947.5702772,16,11,2,477,0,542,14
1776295947.6569333,17,1,2,425,233,528,355
1776295947.6569333,17,2,2,431,154,509,237
1776295947.6569333,17,3,2,874,49,935,93
1776295947.6569333,17,4,2,416,56,473,96
1776295947.6569333,17,5,2,913,5,960,34
1776295947.6569333,17,7,2,415,19,471,58
1776295947.6569333,17,8,3,877,98,912,139
1776295947.6569333,17,11,2,478,0,543,14
1776295947.898014,18,1,2,425,233,528,356
1776295947.898014,18,2,2,431,154,509,237
1776295947.898014,18,3,2,875,49,937,92
1776295947.8989897,18,4,2,415,56,473,97
1776295947.8989897,18,5,2,913,5,960,34
1776295947.8989897,18,7,2,415,19,472,58
1776295947.8989897,18,8,3,876,94,909,133
1776295947.8989897,18,11,2,480,0,545,14
1776295947.9863286,19,1,2,425,233,528,356
1776295947.9863286,19,2,2,431,154,508,237
1776295947.9863286,19,3,2,875,48,937,91
1776295947.9863286,19,4,2,415,56,473,97
1776295947.9863286,19,5,2,913,5,959,34
1776295947.9863286,19,7,2,416,19,472,58
1776295947.9863286,19,8,3,876,92,909,131
1776295947.9863286,19,11,2,481,0,546,14
1776295948.2386281,20,1,2,424,233,528,356
1776295948.2386281,20,2,2,430,154,509,237
1776295948.2386281,20,3,2,876,48,938,91
1776295948.2386281,20,4,2,416,56,473,97
1776295948.2386281,20,5,2,913,5,960,34
1776295948.2386281,20,7,2,414,19,472,59
1776295948.2386281,20,8,3,873,91,906,129
1776295948.2386281,20,11,2,483,0,548,14
1776295948.3411613,21,1,2,424,233,528,356
1776295948.3411613,21,2,2,430,154,509,237
1776295948.3411613,21,3,2,876,48,939,91
1776295948.3411613,21,4,2,416,56,473,97
1776295948.3411613,21,5,2,913,5,960,34
1776295948.3411613,21,7,2,414,18,472,59
1776295948.342134,21,8,3,872,91,904,129
1776295948.342134,21,11,2,483,0,549,14
1776295948.6019804,22,1,2,424,233,528,356
1776295948.6028974,22,2,2,431,154,509,237
1776295948.6028974,22,3,2,878,48,941,91
1776295948.6028974,22,4,2,416,57,473,97
1776295948.6028974,22,5,2,913,5,960,35
1776295948.6028974,22,7,2,413,18,472,60
1776295948.6028974,22,8,3,871,89,902,126
1776295948.6028974,22,11,2,486,0,551,14
1776295948.6965594,23,1,2,424,233,528,356
1776295948.6965594,23,2,2,431,154,509,237
1776295948.6965594,23,3,2,878,47,942,90
1776295948.6965594,23,4,2,415,57,473,97
1776295948.6965594,23,5,2,913,6,960,35
1776295948.6965594,23,7,2,413,18,472,60
1776295948.6965594,23,8,3,870,88,901,124
1776295948.6965594,23,11,2,486,0,551,14
1776295948.9603376,24,1,2,424,233,528,356
1776295948.9603376,24,2,2,431,154,509,238
1776295948.9603376,24,3,2,880,46,943,89
1776295948.9603376,24,4,2,416,57,473,97
1776295948.9603376,24,5,2,913,6,959,35
1776295948.9603376,24,7,2,412,19,471,60
1776295948.9603376,24,8,3,865,87,896,124
1776295948.9613104,24,11,2,490,0,552,13
1776295949.0607936,25,1,2,424,233,528,356
1776295949.0617673,25,2,2,431,155,509,238
1776295949.0617673,25,3,2,880,46,944,89
1776295949.0617673,25,4,2,416,57,473,97
1776295949.0617673,25,5,2,913,6,959,35
1776295949.0617673,25,7,2,412,19,471,60
1776295949.0617673,25,8,3,863,87,895,124
1776295949.0617673,25,11,2,491,0,553,13
1776295949.3046918,26,1,2,424,233,528,356
1776295949.3046918,26,2,2,431,155,509,238
1776295949.3046918,26,3,2,882,45,945,88
1776295949.3046918,26,4,2,416,57,473,97
1776295949.3046918,26,5,2,913,6,959,35
1776295949.3046918,26,7,2,412,19,471,61
1776295949.3056693,26,8,3,861,86,892,123
1776295949.3056693,26,11,2,494,0,555,12
1776295949.3803024,27,1,2,424,233,529,356
1776295949.3803024,27,2,2,431,155,509,238
1776295949.3803024,27,3,2,882,45,946,87
1776295949.3803024,27,4,2,416,57,473,97
1776295949.3803024,27,5,2,912,6,959,35
1776295949.3803024,27,7,2,412,19,471,61
1776295949.3803024,27,11,2,495,0,556,12
1776295949.6305444,28,1,2,424,233,529,356
1776295949.6305444,28,2,2,431,155,509,238
1776295949.6305444,28,3,2,884,45,947,87
1776295949.6305444,28,4,2,416,57,473,98
1776295949.6315172,28,5,2,912,6,959,35
1776295949.6315172,28,7,2,412,20,471,61
1776295949.6315172,28,11,2,495,0,557,12
1776295949.7233176,29,1,2,424,233,529,356
1776295949.7233176,29,2,2,431,155,509,238
1776295949.7233176,29,3,2,884,45,948,86
1776295949.7233176,29,4,2,416,57,474,98
1776295949.7233176,29,5,2,912,6,959,35
1776295949.7233176,29,7,2,412,20,471,61
1776295949.7233176,29,11,2,495,0,557,12
1776295949.9629076,30,1,2,424,233,528,356
1776295949.9629076,30,2,2,431,155,509,237
1776295949.9629076,30,3,2,886,45,950,86
1776295949.9629076,30,4,2,416,57,473,97
1776295949.9629076,30,5,2,913,6,959,35
1776295949.9629076,30,7,2,408,20,469,62
1776295949.9629076,30,8,3,855,88,880,117
1776295949.9629076,30,11,2,499,0,557,12
1776295950.0510144,31,1,2,424,233,528,356
1776295950.0518587,31,2,2,431,155,509,237
1776295950.0518587,31,3,2,886,45,951,86
1776295950.0518587,31,4,2,416,57,473,97
1776295950.0518587,31,5,2,913,6,959,35
1776295950.0518587,31,7,2,407,20,468,62
1776295950.0518587,31,8,3,854,88,879,116
1776295950.0518587,31,11,2,500,0,558,12
1776295950.3080955,32,1,2,424,233,528,356
1776295950.3080955,32,2,2,431,155,509,237
1776295950.3080955,32,3,2,888,45,953,86
1776295950.3080955,32,4,2,416,57,473,97
1776295950.3080955,32,5,2,913,6,958,34
1776295950.3080955,32,7,2,406,20,467,61
1776295950.3080955,32,8,3,852,88,876,115
1776295950.3080955,32,11,2,503,0,558,11
1776295950.4051561,33,1,2,424,233,529,356
1776295950.4051561,33,2,2,430,155,509,237
1776295950.4051561,33,3,2,889,45,954,85
1776295950.4051561,33,4,2,416,57,472,97
1776295950.4051561,33,5,2,914,6,958,34
1776295950.4051561,33,7,2,405,20,467,61
1776295950.4051561,33,11,2,504,0,558,11
1776295950.6784554,34,1,2,424,233,529,356
1776295950.6784554,34,2,2,431,155,509,237
1776295950.6784554,34,3,2,890,45,955,85
1776295950.6784554,34,4,2,416,57,473,96
1776295950.6784554,34,5,2,914,5,959,33
1776295950.6784554,34,7,2,411,20,470,59
1776295950.6784554,34,11,2,506,0,559,10
1776295950.6784554,34,17,3,217,111,257,145
1776295950.6784554,34,18,3,669,27,694,51
1776295950.7850556,35,1,2,424,233,529,356
1776295950.7860322,35,2,2,431,155,509,237
1776295950.7860322,35,3,2,890,45,956,84
1776295950.7860322,35,4,2,416,57,473,96
1776295950.7860322,35,5,2,914,5,959,33
1776295950.7860322,35,7,2,413,20,471,59
1776295950.7860322,35,11,2,506,0,559,10
1776295950.7860322,35,17,3,215,112,255,144
1776295950.7860322,35,18,3,669,28,693,50
1776295951.0372255,36,1,2,425,233,529,355
1776295951.0372255,36,2,2,431,155,509,237
1776295951.0372255,36,3,2,890,44,957,84
1776295951.0381987,36,4,2,416,56,473,96
1776295951.0381987,36,5,2,914,5,957,32
1776295951.0381987,36,7,2,415,20,472,59
1776295951.0381987,36,11,2,508,0,561,10
1776295951.0381987,36,17,3,209,112,246,143
1776295951.0381987,36,18,3,670,28,693,50
1776295951.1339831,37,1,2,425,232,529,355
1776295951.1339831,37,2,2,431,155,509,236
1776295951.1339831,37,3,2,891,43,957,83
1776295951.1339831,37,4,2,416,56,473,96
1776295951.1339831,37,5,2,914,5,957,32
1776295951.1339831,37,7,2,415,20,473,58
1776295951.1339831,37,11,2,508,0,561,10
1776295951.1339831,37,17,3,207,113,243,142
1776295951.1339831,37,18,3,670,29,693,50
1776295951.3843997,38,1,2,425,232,529,355
1776295951.3843997,38,2,2,431,154,509,236
1776295951.3843997,38,3,2,892,43,959,83
1776295951.3843997,38,4,2,416,56,472,96
1776295951.3843997,38,5,2,914,4,958,31
1776295951.3843997,38,7,2,415,19,472,58
1776295951.3843997,38,11,2,510,0,560,10
1776295951.3849144,38,17,3,204,113,238,142
1776295951.3849144,38,18,3,667,26,693,50
1776295951.4837506,39,1,2,425,232,530,354
1776295951.4837506,39,2,2,431,154,509,236
1776295951.4837506,39,3,2,892,42,959,82
1776295951.4837506,39,4,2,416,56,472,96
1776295951.4837506,39,5,2,914,4,959,31
1776295951.4837506,39,7,2,415,19,472,58
1776295951.4837506,39,11,2,511,0,560,10
1776295951.4837506,39,18,3,666,25,693,50
1776295951.7331946,40,1,2,425,231,530,354
1776295951.7331946,40,2,2,431,154,509,236
1776295951.7331946,40,3,2,894,42,960,81
1776295951.7331946,40,4,2,416,56,473,96
1776295951.7331946,40,5,2,914,4,958,31
1776295951.7331946,40,7,2,415,19,472,58
1776295951.7331946,40,11,2,514,0,559,9
1776295951.7331946,40,18,3,667,25,693,50
1776295951.7331946,40,20,2,917,301,951,422
1776295951.8300242,41,1,2,425,231,530,354
1776295951.8300242,41,2,2,431,153,509,236
1776295951.8300242,41,3,2,895,41,960,80
1776295951.8300242,41,4,2,416,56,473,96
1776295951.8300242,41,5,2,914,4,958,31
1776295951.8309963,41,7,2,415,19,472,58
1776295951.8309963,41,11,2,515,0,559,8
1776295951.8309963,41,18,3,667,25,692,50
1776295951.8309963,41,20,2,913,295,949,420
1776295952.0917706,42,1,2,425,231,529,354
1776295952.0917706,42,2,2,431,153,509,236
1776295952.0917706,42,3,2,895,41,960,80
1776295952.0917706,42,4,2,416,56,473,96
1776295952.0917706,42,5,2,914,4,958,31
1776295952.0917706,42,7,2,416,19,472,58
1776295952.0917706,42,11,2,516,0,560,8
1776295952.0917706,42,18,3,668,25,693,50
1776295952.0917706,42,20,2,901,278,942,413
1776295952.2006195,43,1,2,425,231,529,354
1776295952.2006195,43,2,2,431,153,509,236
1776295952.2015932,43,3,2,896,40,960,80
1776295952.2015932,43,4,2,416,55,473,96
1776295952.2015932,43,5,2,915,4,958,31
1776295952.2015932,43,7,2,416,19,472,58
1776295952.2015932,43,11,2,517,0,560,8
1776295952.2015932,43,18,3,668,24,693,50
1776295952.2015932,43,20,2,896,272,940,411
1776295952.4742827,44,1,2,424,231,529,354
1776295952.4742827,44,2,2,431,153,509,236
1776295952.4742827,44,3,2,898,40,960,80
1776295952.4742827,44,4,2,417,56,473,96
1776295952.4742827,44,5,2,914,4,958,31
1776295952.4742827,44,7,2,417,19,472,57
1776295952.4742827,44,11,2,519,0,562,8
1776295952.4742827,44,18,3,666,26,691,51
1776295952.4742827,44,20,2,884,257,937,420
1776295952.5807393,45,1,2,424,231,529,354
1776295952.5807393,45,2,2,431,153,510,236
1776295952.5817127,45,3,2,899,40,960,79
1776295952.5817127,45,4,2,417,56,472,95
1776295952.5817127,45,5,2,914,4,958,31
1776295952.5817127,45,7,2,417,18,471,57
1776295952.5817127,45,11,2,520,0,563,8
1776295952.5817127,45,18,3,666,27,690,51
1776295952.5817127,45,20,2,878,252,937,423
1776295952.8442764,46,1,2,424,231,529,354
1776295952.8442764,46,2,2,431,154,509,236
1776295952.8442764,46,3,2,900,40,960,79
1776295952.8442764,46,4,2,417,56,473,96
1776295952.8442764,46,5,2,914,3,959,31
1776295952.8442764,46,7,2,417,18,471,57
1776295952.8442764,46,11,2,521,0,563,8
1776295952.8442764,46,18,3,666,28,689,52
1776295952.8442764,46,20,2,868,239,935,422
1776295952.84525,46,22,2,344,0,395,12
1776295952.9500184,47,1,2,424,231,529,354
1776295952.9500184,47,2,2,431,154,509,236
1776295952.950995,47,3,2,900,39,960,79
1776295952.950995,47,4,2,417,56,473,96
1776295952.950995,47,5,2,913,3,959,31
1776295952.950995,47,7,2,417,18,471,57
1776295952.950995,47,11,2,521,0,563,8
1776295952.950995,47,18,3,665,28,689,52
1776295952.950995,47,20,2,863,234,935,421
1776295952.950995,47,22,2,342,0,396,13
1776295953.2207944,48,1,2,424,231,529,354
1776295953.2217684,48,2,2,431,154,509,236
1776295953.2217684,48,3,2,902,39,960,79
1776295953.2217684,48,4,2,417,56,473,96
1776295953.2217684,48,5,2,913,4,958,31
1776295953.2217684,48,7,2,416,18,471,58
1776295953.2217684,48,11,2,524,0,563,8
1776295953.2217684,48,18,3,666,28,689,52
1776295953.2217684,48,20,2,855,223,930,404
1776295953.2217684,48,22,2,341,0,395,13
1776295953.329172,49,1,2,424,231,529,354
1776295953.3301454,49,2,2,431,155,509,236
1776295953.3301454,49,3,2,903,39,960,78
1776295953.3301454,49,4,2,417,55,472,96
1776295953.3301454,49,5,2,913,4,958,31
1776295953.3301454,49,7,2,415,18,471,58
1776295953.3301454,49,11,2,524,0,562,8
1776295953.3301454,49,18,3,666,28,690,52
1776295953.3301454,49,20,2,851,220,929,397
1776295953.3301454,49,22,2,341,0,395,13
1776295953.5979984,50,1,2,424,231,529,354
1776295953.5979984,50,2,2,431,155,509,237
1776295953.5979984,50,3,2,905,39,960,78
1776295953.5979984,50,4,2,417,55,473,96
1776295953.5989144,50,5,2,913,4,957,31
1776295953.5989144,50,7,2,416,18,472,58
1776295953.5989144,50,11,2,526,0,563,7
1776295953.5989144,50,18,3,666,28,690,52
1776295953.5989144,50,20,2,843,209,926,382
1776295953.5998862,50,22,2,338,0,396,14
1776295953.703063,51,1,2,424,231,529,354
1776295953.703063,51,2,2,431,155,509,237
1776295953.703063,51,3,2,905,38,960,78
1776295953.703063,51,4,2,417,55,473,95
1776295953.703063,51,5,2,913,4,957,31
1776295953.703063,51,7,2,417,18,473,58
1776295953.703063,51,11,2,526,0,563,7
1776295953.703063,51,18,3,666,28,689,52
1776295953.703063,51,20,2,839,206,926,376
1776295953.703063,51,22,2,337,0,396,15
1776295953.954702,52,1,2,425,231,529,354
1776295953.954702,52,2,2,431,155,509,237
1776295953.9556754,52,3,2,908,38,960,77
1776295953.9556754,52,4,2,417,55,472,95
1776295953.9556754,52,5,2,913,5,958,31
1776295953.9556754,52,7,2,416,18,472,59
1776295953.9556754,52,11,2,527,0,564,7
1776295953.9556754,52,18,3,667,28,690,52
1776295953.9556754,52,20,2,834,194,922,349
1776295953.9556754,52,22,2,336,0,395,15
1776295954.0504246,53,1,2,425,231,529,354
1776295954.0504246,53,2,2,431,155,509,237
1776295954.0504246,53,3,2,909,38,960,77
1776295954.0504246,53,4,2,416,55,472,95
1776295954.0504246,53,5,2,913,5,958,31
1776295954.0504246,53,7,2,416,18,472,59
1776295954.0504246,53,18,3,667,28,690,52
1776295954.0504246,53,20,2,830,190,922,339
1776295954.0504246,53,22,2,337,0,395,15
1776295954.2900872,54,1,2,425,231,529,354
1776295954.2900872,54,2,2,431,155,509,237
1776295954.2900872,54,3,2,910,38,960,76
1776295954.2900872,54,4,2,416,55,471,95
1776295954.2900872,54,5,2,914,5,958,31
1776295954.2900872,54,7,2,415,18,472,60
1776295954.2900872,54,18,3,667,28,690,53
1776295954.2900872,54,20,2,823,181,919,323
1776295954.2900872,54,22,2,334,0,396,16
1776295954.377884,55,1,2,425,231,529,354
1776295954.3788571,55,2,2,431,155,509,237
1776295954.3788571,55,3,2,911,37,960,75
1776295954.3788571,55,4,2,416,55,471,95
1776295954.3788571,55,5,2,914,5,958,31
1776295954.3788571,55,7,2,416,18,472,60
1776295954.3788571,55,20,2,819,178,920,317
1776295954.3788571,55,22,2,333,0,396,17
1776295954.623082,56,1,2,425,232,529,355
1776295954.624056,56,2,2,430,154,509,237
1776295954.624056,56,3,2,915,37,960,73
1776295954.624056,56,4,2,415,55,471,95
1776295954.624056,56,5,2,914,5,958,31
1776295954.624056,56,7,2,415,18,472,60
1776295954.624056,56,20,2,813,169,914,297
1776295954.624056,56,22,2,333,0,396,17
1776295954.7097557,57,1,2,424,232,529,355
1776295954.7097557,57,2,2,430,154,509,237
1776295954.7097557,57,3,2,916,37,960,73
1776295954.7097557,57,4,2,415,55,471,95
1776295954.710728,57,5,2,914,5,958,31
1776295954.710728,57,7,2,415,18,472,60
1776295954.710728,57,20,2,808,166,915,289
1776295954.710728,57,22,2,334,0,396,17
1776295954.966187,58,1,2,424,232,529,355
1776295954.966187,58,2,2,430,154,509,237
1776295954.966187,58,3,2,918,37,960,72
1776295954.9671602,58,4,2,415,55,472,96
1776295954.9671602,58,5,2,913,5,959,32
1776295954.9671602,58,7,2,416,18,471,60
1776295954.9671602,58,18,3,666,28,688,53
1776295954.9671602,58,20,2,795,159,903,277
1776295954.9671602,58,22,2,331,0,395,17
1776295955.0665216,59,1,2,424,232,529,356
1776295955.0665216,59,2,2,430,154,509,237
1776295955.0665216,59,3,2,919,37,960,72
1776295955.0665216,59,4,2,415,55,472,96
1776295955.0665216,59,5,2,912,5,959,32
1776295955.0665216,59,7,2,416,18,471,60
1776295955.0665216,59,18,3,666,29,688,53
1776295955.0665216,59,20,2,789,156,901,273
1776295955.0665216,59,22,2,330,0,394,18
1776295955.3245199,60,1,2,424,232,529,356
1776295955.3245199,60,2,2,430,154,509,238
1776295955.3245199,60,3,2,922,37,960,72
1776295955.3254933,60,4,2,415,55,472,96
1776295955.3254933,60,5,2,912,4,959,32
1776295955.3254933,60,7,2,415,18,471,60
1776295955.3254933,60,18,3,665,29,688,53
1776295955.3254933,60,20,2,777,149,890,261
1776295955.3254933,60,22,2,329,0,394,18
1776295955.4256854,61,1,2,424,232,528,356
1776295955.4256854,61,2,2,430,154,510,238
1776295955.4256854,61,3,2,923,36,960,71
1776295955.4256854,61,4,2,415,55,471,96
1776295955.4256854,61,5,2,912,4,959,33
1776295955.4256854,61,7,2,414,18,471,60
1776295955.4256854,61,18,3,664,29,688,53
1776295955.4256854,61,20,2,772,147,887,257
1776295955.4256854,61,22,2,329,0,393,19
1776295955.6804202,62,1,2,425,232,528,355
1776295955.6804202,62,2,2,431,154,509,237
1776295955.6804202,62,3,2,926,36,960,70
1776295955.6804202,62,4,2,415,55,472,96
1776295955.6804202,62,5,2,912,4,959,32
1776295955.6804202,62,7,2,413,18,471,61
1776295955.6804202,62,18,3,665,29,688,53
1776295955.6804202,62,20,2,762,139,878,247
1776295955.6804202,62,22,2,327,0,395,20
1776295955.779395,63,1,2,425,232,528,355
1776295955.7803695,63,2,2,431,154,508,237
1776295955.7803695,63,3,2,927,36,960,69
1776295955.7803695,63,4,2,415,55,472,96
1776295955.7803695,63,5,2,912,3,959,32
1776295955.7803695,63,7,2,413,18,471,61
1776295955.7803695,63,18,3,665,29,688,53
1776295955.7803695,63,20,2,758,137,876,244
1776295955.7803695,63,22,2,327,0,395,21
1776295956.0350504,64,1,2,425,232,528,355
1776295956.0360427,64,2,2,431,154,508,237
1776295956.0360427,64,3,2,930,37,960,69
1776295956.0360427,64,4,2,416,55,472,95
1776295956.0360427,64,5,2,912,4,959,32
1776295956.0360427,64,7,2,410,18,467,59
1776295956.0360427,64,18,3,666,30,688,53
1776295956.0360427,64,20,2,749,129,866,233
1776295956.0360427,64,22,2,325,0,395,21
1776295956.1358516,65,1,2,425,232,528,354
1776295956.1358516,65,2,2,431,155,508,237
1776295956.1358516,65,3,2,932,37,960,68
1776295956.1358516,65,4,2,416,55,473,95
1776295956.1358516,65,5,2,912,4,959,32
1776295956.1358516,65,7,2,409,18,466,59
1776295956.1358516,65,18,3,666,30,689,53
1776295956.1358516,65,20,2,745,127,863,229
1776295956.1358516,65,22,2,325,0,394,22
1776295956.401449,66,1,2,425,232,528,354
1776295956.401449,66,2,2,430,154,509,236
1776295956.401449,66,3,2,935,38,960,68
1776295956.401449,66,4,2,415,56,472,96
1776295956.401449,66,5,2,912,4,959,33
1776295956.401449,66,7,2,408,18,467,59
1776295956.401449,66,18,3,665,29,689,53
1776295956.401449,66,20,2,738,121,854,221
1776295956.401449,66,22,2,324,0,394,22
1776295956.4962695,67,1,2,425,233,528,354
1776295956.4972432,67,2,2,430,154,509,236
1776295956.4972432,67,3,2,936,38,960,67
1776295956.4972432,67,4,2,415,56,472,96
1776295956.4972432,67,5,2,912,5,959,33
1776295956.4972432,67,7,2,408,18,468,59
1776295956.4972432,67,18,3,664,29,689,53
1776295956.4972432,67,20,2,735,120,851,218
1776295956.4972432,67,22,2,323,0,394,23
1776295956.7530487,68,1,2,424,233,528,354
1776295956.7530487,68,2,2,430,154,509,237
1776295956.7530487,68,3,2,940,41,960,66
1776295956.7530487,68,4,2,414,56,472,96
1776295956.7530487,68,5,2,912,4,959,33
1776295956.7530487,68,7,2,410,18,468,59
1776295956.7530487,68,18,3,664,29,687,53
1776295956.7540202,68,20,2,727,111,843,208
1776295956.7540202,68,22,2,320,0,395,25
1776295956.8526947,69,1,2,424,233,528,354
1776295956.853658,69,2,2,430,154,509,237
1776295956.853658,69,3,2,942,41,960,65
1776295956.853658,69,4,2,414,57,472,97
1776295956.853658,69,5,2,912,4,959,33
1776295956.853658,69,7,2,410,18,469,59
1776295956.853658,69,18,3,663,29,687,53
1776295956.853658,69,20,2,725,108,840,205
1776295956.853658,69,22,2,319,0,395,25
1776295957.111437,70,1,2,424,232,529,354
1776295957.111437,70,2,2,431,154,509,237
1776295957.111437,70,3,2,945,42,960,65
1776295957.112417,70,4,2,414,57,472,97
1776295957.1124542,70,5,2,913,4,959,33
1776295957.1124542,70,7,2,411,18,470,58
1776295957.1124542,70,18,3,663,29,687,53
1776295957.1124542,70,20,2,719,105,831,198
1776295957.1124542,70,22,2,318,0,393,26
1776295957.2095778,71,1,2,424,232,529,354
1776295957.210551,71,2,2,431,155,509,237
1776295957.210551,71,3,2,946,42,960,65
1776295957.210551,71,4,2,414,57,472,97
1776295957.210551,71,5,2,913,4,959,33
1776295957.210551,71,7,2,410,18,470,58
1776295957.210551,71,18,3,662,29,688,53
1776295957.210551,71,20,2,717,105,829,196
1776295957.210551,71,22,2,318,0,392,26
1776295957.47935,72,1,2,424,232,529,354
1776295957.47935,72,2,2,431,155,509,237
1776295957.47935,72,3,2,948,42,960,65
1776295957.47935,72,4,2,415,57,471,96
1776295957.47935,72,5,2,912,4,959,33
1776295957.47935,72,7,2,411,18,470,58
1776295957.47935,72,18,3,663,29,687,53
1776295957.4803228,72,20,2,712,100,821,189
1776295957.4803228,72,22,2,315,0,391,27
1776295957.58393,73,1,2,425,232,528,354
1776295957.58393,73,2,2,431,155,509,237
1776295957.58393,73,4,2,415,57,471,96
1776295957.58393,73,5,2,912,4,959,33
1776295957.58393,73,7,2,411,18,469,58
1776295957.58393,73,18,3,663,29,687,53
1776295957.58393,73,20,2,710,98,818,187
1776295957.58393,73,22,2,315,0,390,28
1776295957.8476603,74,1,2,424,232,529,354
1776295957.848633,74,2,2,431,154,509,237
1776295957.848633,74,4,2,414,56,472,96
1776295957.848633,74,5,2,913,5,958,33
1776295957.848633,74,7,2,411,18,470,58
1776295957.848633,74,18,3,662,28,687,52
1776295957.848633,74,20,2,706,94,810,179
1776295957.848633,74,22,7,312,0,390,29
1776295957.950363,75,1,2,424,232,529,354
1776295957.950363,75,2,2,431,154,509,237
